OwnShip Hologram,Calibration Table,,,,,
92,0.071740,,,,,
93,0.073303,,,,,
94,0.074672,,,,,
95,0.076236,,,,,
96,0.077311,,,,,
97,0.078386,,,,,
98,0.079168,,,,,
99,0.080536,,,,,
100,0.082100,,,,,
101,0.083468,,,,,
102,0.085032,,,,,
103,0.086400,,,,,
104,0.087500,,,,,
105,0.088416,,,,,
106,0.089332,,,,,
107,0.091678,,,,,
108,0.093047,,,,,
109,0.093828,,,,,
110,0.095197,,,,,
111,0.096761,,,,,
112,0.099693,,,,,
113,0.101061,,,,,
114,0.102625,,,,,
115,0.103993,,,,,
116,0.105459,,,,,
117,0.106925,,,,,
118,0.108489,,,,,
119,0.109857,,,,,
120,0.111421,,,,,
121,0.112790,,,,,
122,0.114353,,,,,
123,0.115722,,,,,
124,0.117286,,,,,
125,0.118752,,,,,
126,0.120218,,,,,
127,0.121586,,,,,
128,0.123639,,,,,
129,0.124518,,,,,
130,0.128819,,,,,
131,0.130382,,,,,
132,0.131751,,,,,
133,0.133217,,,,,
134,0.134683,,,,,
135,0.136833,,,,,
136,0.138690,,,,,
137,0.140547,,,,,
138,0.142111,,,,,
139,0.143479,,,,,
140,0.146411,,,,,
141,0.147975,,,,,
142,0.149344,,,,,
143,0.152276,,,,,
144,0.154000,,,,,
145,0.156772,,,,,
146,0.158922,,,,,
147,0.162000,,,,,
148,0.164004,,,,,
149,0.166936,,,,,
150,0.168500,,,,,
151,0.171000,,,,,
152,0.172801,,,,,
153,0.175733,,,,,
154,0.178665,,,,,
155,0.180131,,,,,
156,0.181597,,,,,
157,0.184529,,,,,
158,0.187461,,,,,
159,0.191000,,,,,
160,0.193326,,,,,
161,0.196258,,,,,
162,0.202122,,,,,
163,0.205054,,,,,
164,0.207986,,,,,
165,0.210918,,,,,
166,0.213851,,,,,
167,0.216783,,,,,
168,0.219715,,,,,
169,0.222647,,,,,
170,0.225579,,,,,
171,0.228511,,,,,
172,0.231443,,,,,
173,0.234376,,,,,
174,0.237308,,,,,
175,0.240240,,,,,
176,0.245909,,,,,
177,0.251577,,,,,
178,0.254705,,,,,
179,0.257637,,,,,
180,0.263501,,,,,
181,0.266434,,,,,
182,0.272298,,,,,
183,0.275230,,,,,
184,0.281094,,,,,
185,0.284026,,,,,
186,0.286959,,,,,
187,0.295755,,,,,
188,0.298687,,,,,
189,0.304551,,,,,
190,0.310416,,,,,
191,0.316280,,,,,
192,0.322144,,,,,
193,0.328009,,,,,
194,0.333873,,,,,
195,0.339737,,,,,
196,0.345601,,,,,
197,0.351466,,,,,
198,0.357330,,,,,
199,0.363194,,,,,
200,0.374727,,,,,
201,0.380592,,,,,
202,0.386456,,,,,
203,0.398184,,,,,
204,0.404049,,,,,
205,0.409913,,,,,
206,0.421641,,,,,
207,0.429000,,,,,
208,0.439234,,,,,
209,0.445099,,,,,
210,0.456827,,,,,
211,0.468556,,,,,
212,0.474420,,,,,
213,0.487000,,,,,
214,0.491817,,,,,
215,0.515274,,,,,
216,0.527003,,,,,
217,0.538732,,,,,
218,0.550460,,,,,
219,0.562189,,,,,
220,0.579781,,,,,
221,0.597374,,,,,
222,0.609103,,,,,
223,0.632365,,,,,
224,0.655822,,,,,
225,0.667550,,,,,
226,0.691007,,,,,
227,0.714464,,,,,
228,0.737726,,,,,
229,0.772912,,,,,
230,0.796369,,,,,
231,0.819826,,,,,
232,0.843283,,,,,
233,0.890002,,,,,
234,0.913459,,,,,
235,0.936916,,,,,
236,0.983635,,,,,
237,1.030549,,,,,
238,1.077463,,,,,
239,1.124182,,,,,
240,1.194553,,,,,
241,1.264729,,,,,
242,1.335100,,,,,
243,1.428733,,,,,
244,1.545823,,,,,
245,1.686957,,,,,
246,1.804242,,,,,
247,1.921528,,,,,
248,2.109185,,,,,
249,2.345711,,,,,
250,2.638925,,,,,
251,3.000000,,,,,
252,3.300000,,,,,
253,4.000000,,,,,
254,5.000000,,,,,
255,6.000000,,,,,
